Compound,Isomer,Breed,Parity,Feed_Type,Scenario,GOF_Passed,Exposure_Stop_Day,Total_Days,Milk_Conc_End_Exposure,t50_depuration_days,t90_depuration_days,t_below_reg_limit_days
PFDA,Linear,Saanen,primiparous,grass_silage,EXPO_HIGH,1.0,300.0,300.0,0.06406955595209736,,,
PFDA,Linear,Saanen,primiparous,grass_silage,EXPO_DEP,1.0,200.0,300.0,0.07407510216233354,214.27763121792745,244.95672206260085,
PFDA,Linear,Saanen,primiparous,maize_silage,EXPO_LOW,1.0,300.0,300.0,0.03844173357125842,,,
PFDA,Linear,Saanen,primiparous,maize_silage,EXPO_HIGH,1.0,300.0,300.0,0.03844173357125842,,,
PFDA,Linear,Saanen,primiparous,maize_silage,EXPO_DEP,1.0,200.0,300.0,0.04444506129740012,214.27763121792745,244.95672206260085,
PFDA,Linear,Saanen,primiparous,lucerne,EXPO_LOW,1.0,300.0,300.0,0.02562782238083895,,,
PFDA,Linear,Saanen,primiparous,lucerne,EXPO_HIGH,1.0,300.0,300.0,0.02562782238083895,,,
PFDA,Linear,Saanen,primiparous,lucerne,EXPO_DEP,1.0,200.0,300.0,0.029630040864933416,214.27763121792745,244.95672206260085,
PFDA,Linear,Saanen,multiparous,grass_silage,EXPO_LOW,1.0,300.0,300.0,0.060100506005737055,,,
PFDA,Linear,Saanen,multiparous,grass_silage,EXPO_HIGH,1.0,300.0,300.0,0.060100506005737055,,,
PFDA,Linear,Saanen,multiparous,grass_silage,EXPO_DEP,1.0,200.0,300.0,0.06588166985485665,215.36168220977183,248.4552383911006,
PFDA,Linear,Saanen,multiparous,maize_silage,EXPO_LOW,1.0,300.0,300.0,0.03606030360344223,,,
PFDA,Linear,Saanen,multiparous,maize_silage,EXPO_HIGH,1.0,300.0,300.0,0.03606030360344223,,,
PFDA,Linear,Saanen,multiparous,maize_silage,EXPO_DEP,1.0,200.0,300.0,0.03952900191291399,215.36168220977183,248.4552383911006,
PFDA,Linear,Saanen,multiparous,lucerne,EXPO_LOW,1.0,300.0,300.0,0.02404020240229483,,,
PFDA,Linear,Saanen,multiparous,lucerne,EXPO_HIGH,1.0,300.0,300.0,0.02404020240229483,,,
PFDA,Linear,Saanen,multiparous,lucerne,EXPO_DEP,1.0,200.0,300.0,0.026352667941942666,215.3616822097718,248.4552383911006,
PFDS,Branched,Alpine,primiparous,grass_silage,EXPO_LOW,1.0,300.0,300.0,0.00363569419414006,,,
PFDS,Branched,Alpine,primiparous,grass_silage,EXPO_HIGH,1.0,300.0,300.0,0.00363569419414006,,,
PFDS,Branched,Alpine,primiparous,grass_silage,EXPO_DEP,1.0,200.0,300.0,0.004568598543293481,213.00505163640747,240.2605530547129,
PFDS,Branched,Alpine,primiparous,maize_silage,EXPO_LOW,1.0,300.0,300.0,0.00181784709707003,,,
PFDS,Branched,Alpine,primiparous,maize_silage,EXPO_HIGH,1.0,300.0,300.0,0.00181784709707003,,,
PFDS,Branched,Alpine,primiparous,maize_silage,EXPO_DEP,1.0,200.0,300.0,0.0022842992716467403,213.00505163640747,240.2605530547129,
PFDS,Branched,Alpine,primiparous,lucerne,EXPO_LOW,1.0,300.0,300.0,0.00363569419414006,,,
PFDS,Branched,Alpine,primiparous,lucerne,EXPO_HIGH,1.0,300.0,300.0,0.00363569419414006,,,
PFDS,Branched,Alpine,primiparous,lucerne,EXPO_DEP,1.0,200.0,300.0,0.004568598543293481,213.00505163640747,240.2605530547129,
PFDS,Branched,Alpine,multiparous,grass_silage,EXPO_LOW,1.0,300.0,300.0,0.003363638845454857,,,
PFDS,Branched,Alpine,multiparous,grass_silage,EXPO_HIGH,1.0,300.0,300.0,0.003363638845454857,,,
PFDS,Branched,Alpine,multiparous,grass_silage,EXPO_DEP,1.0,200.0,300.0,0.0039039937288104006,213.26325887882487,241.09546917858685,
PFDS,Branched,Alpine,multiparous,maize_silage,EXPO_LOW,1.0,300.0,300.0,0.0016818194227274286,,,
PFDS,Branched,Alpine,multiparous,maize_silage,EXPO_HIGH,1.0,300.0,300.0,0.0016818194227274286,,,
PFDS,Branched,Alpine,multiparous,maize_silage,EXPO_DEP,1.0,200.0,300.0,0.0019519968644052003,213.26325887882487,241.09546917858685,
PFDS,Branched,Alpine,multiparous,lucerne,EXPO_LOW,1.0,300.0,300.0,0.003363638845454857,,,
PFDS,Branched,Alpine,multiparous,lucerne,EXPO_HIGH,1.0,300.0,300.0,0.003363638845454857,,,
PFDS,Branched,Alpine,multiparous,lucerne,EXPO_DEP,1.0,200.0,300.0,0.0039039937288104006,213.26325887882487,241.09546917858685,
PFDS,Branched,Saanen,primiparous,grass_silage,EXPO_LOW,1.0,300.0,300.0,0.0035553476713512553,,,
PFDS,Branched,Saanen,primiparous,grass_silage,EXPO_HIGH,1.0,300.0,300.0,0.0035553476713512553,,,
PFDS,Branched,Saanen,primiparous,grass_silage,EXPO_DEP,1.0,200.0,300.0,0.0044294886827559304,213.0388860749783,240.36666408058807,
PFDS,Branched,Saanen,primiparous,maize_silage,EXPO_LOW,1.0,300.0,300.0,0.0017776738356756277,,,
PFDS,Branched,Saanen,primiparous,maize_silage,EXPO_HIGH,1.0,300.0,300.0,0.0017776738356756277,,,
PFDS,Branched,Saanen,primiparous,maize_silage,EXPO_DEP,1.0,200.0,300.0,0.0022147443413779652,213.0388860749783,240.36666408058807,
PFDS,Branched,Saanen,primiparous,lucerne,EXPO_LOW,1.0,300.0,300.0,0.0035553476713512553,,,
PFDS,Branched,Saanen,primiparous,lucerne,EXPO_HIGH,1.0,300.0,300.0,0.0035553476713512553,,,
