Matrix,Compound,Isomer,Mean_Partition_Coefficient
Lung,SD PFSA,Linear,0.5256890715667312
Lung,Summe PFCA,Linear,0.5256890715667312
Lung,Summe PFSA,Linear,0.5965053202145515
Lung,√((∑SD)^2/Anzahl PFAS),Linear,0.5256890715667312
Muscle,PFBA,Linear,0.08080306405512933
Muscle,PFDA,Linear,0.08080306405512933
Muscle,PFDA,Total,0.08080306405512933
Muscle,PFDS,Branched,0.060860854260009034
Muscle,PFDS,Linear,0.43797490592053584
Muscle,PFDS,Total,0.17889452677634735
Muscle,PFDoDA,Linear,0.08080306405512933
Muscle,PFDoDS,Branched,0.08080306405512933
Muscle,PFDoDS,Linear,0.08080306405512933
Muscle,PFDoDS,Total,0.08080306405512933
Muscle,PFECHS,Linear,0.08080306405512933
Muscle,PFHpA,Linear,0.08080306405512933
Muscle,PFHpA,Total,0.08080306405512933
Muscle,PFHpS,Branched,0.08080306405512933
Muscle,PFHpS,Linear,0.08080306405512933
Muscle,PFHpS,Total,0.08080306405512933
Muscle,PFHxA,Linear,0.08080306405512933
Muscle,PFHxA,Total,0.08080306405512933
Muscle,PFHxS,Linear,0.08080306405512933
Muscle,PFHxS,Total,0.08080306405512933
Muscle,PFNA,Total,0.08080306405512933
Muscle,PFNS,Branched,0.06145144376472303
Muscle,PFNS,Linear,0.19004311388574946
Muscle,PFNS,Total,0.07539367870186432
Muscle,PFOA,Branched,0.08080306405512933
Muscle,PFOA,Linear,0.08080306405512933
Muscle,PFOA,Total,0.08080306405512933
Muscle,PFOS,Branched,0.04345555639499497
Muscle,PFOS,Linear,0.09864447541868025
Muscle,PFOS,Total,0.0864936035106955
Muscle,PFPeA,Linear,2.333868709370086
Muscle,PFTeDA,Linear,0.08080306405512933
Muscle,PFTrDA,Linear,0.08080306405512933
Muscle,PFTrDS,Branched,0.08080306405512933
Muscle,PFTrDS,Linear,0.08080306405512933
Muscle,PFTrDS,Total,0.08080306405512933
Muscle,PFUnDA,Linear,0.08080306405512933
Muscle,PFUnDS,Branched,0.08080306405512933
Muscle,PFUnDS,Linear,0.08080306405512933
Muscle,PFUnDS,Total,0.08080306405512933
Muscle,SD PFCA,Linear,0.08080306405512933
Muscle,SD PFSA,Linear,0.08080306405512933
Muscle,Summe PFCA,Linear,2.333868709370086
Muscle,Summe PFSA,Linear,0.09118212544652719
Muscle,√((∑SD)^2/Anzahl PFAS),Linear,0.08080306405512933
Spleen,PFBA,Linear,0.2399668841690288
Spleen,PFDA,Linear,0.2399668841690288
Spleen,PFDA,Total,0.2399668841690288
Spleen,PFDS,Branched,0.11313194011585749
Spleen,PFDS,Linear,2.3612751814160364
Spleen,PFDS,Total,0.3321759693566864
Spleen,PFDoDA,Linear,0.2399668841690288
Spleen,PFDoDS,Branched,0.2399668841690288
Spleen,PFDoDS,Linear,0.2399668841690288
Spleen,PFDoDS,Total,0.2399668841690288
Spleen,PFECHS,Linear,0.2399668841690288
Spleen,PFHpA,Linear,0.2399668841690288
Spleen,PFHpA,Total,0.2399668841690288
Spleen,PFHpS,Branched,0.2399668841690288
Spleen,PFHpS,Linear,0.2399668841690288
Spleen,PFHpS,Total,0.2399668841690288
Spleen,PFHxA,Linear,0.2399668841690288
Spleen,PFHxA,Total,0.2399668841690288
Spleen,PFHxS,Linear,0.2399668841690288
Spleen,PFHxS,Total,0.2399668841690288
Spleen,PFNA,Total,0.2399668841690288
Spleen,PFNS,Branched,0.15732653663103532
Spleen,PFNS,Linear,0.7554814298696916
Spleen,PFNS,Total,0.2180484916198843
Spleen,PFOA,Branched,0.2399668841690288
Spleen,PFOA,Linear,0.2399668841690288
Spleen,PFOA,Total,0.2399668841690288
Spleen,PFOS,Branched,0.10762645337265409
Spleen,PFOS,Linear,0.305268245932887
Spleen,PFOS,Total,0.25813505443551177
Spleen,PFPeA,Linear,0.2399668841690288
Spleen,PFTeDA,Linear,0.2399668841690288
Spleen,PFTrDA,Linear,0.2399668841690288
Spleen,PFTrDS,Branched,0.2399668841690288
Spleen,PFTrDS,Linear,0.2399668841690288
Spleen,PFTrDS,Total,0.2399668841690288
Spleen,PFUnDA,Linear,0.2399668841690288
Spleen,PFUnDS,Branched,0.2399668841690288
Spleen,PFUnDS,Linear,0.2399668841690288
