Compound,Isomer,Compartment,N,R2,rRMSE,GM_Fold_Error,Bias_log10,Bias_fold,CI_Coverage
PFDS,Linear,lung,3,0.0,0.42395062210526663,1.704508982368237,0.06826456133474991,1.1702120378357974,0.3333333333333333
PFDS,Linear,milk,27,0.820505342114674,0.1622263123377714,1.8794249422291878,-0.20249095419916538,1.5940096791753484,0.37037037037037035
PFDS,Linear,muscle,1,,,6.2329736407740945,,,0.0
PFDS,Linear,plasma,22,0.9681875136925573,0.06153440893371345,1.2921277408424763,-0.033329099782321854,1.07976463661039,0.7272727272727273
PFDS,Linear,spleen,3,0.0,0.4380952418294124,1.5345461361185289,0.0754622623532643,1.1897679408028154,0.3333333333333333
PFDoDA,Branched,milk,21,0.5657480282755679,0.19691359087541443,1.4147459936271969,-0.00035590414071744116,1.0008198354504678,0.6190476190476191
PFDoDA,Linear,milk,21,0.5220895731839977,0.44122149132218375,1.6280647876766274,-0.11350039322041408,1.2986747396792124,0.7619047619047619
PFDoDA,Linear,plasma,15,0.6600234028781727,0.18590681296547362,1.2337587473560012,-0.0070246003247684315,1.0163062592386807,0.8
PFDoDS,Branched,feces,12,0.759825249712835,0.30349881790997235,1.7126231761446136,9.398874861082697e-05,1.0002164405113287,0.6666666666666666
PFDoDS,Branched,milk,18,0.2250231184180267,0.40565951604707795,2.4075131374830954,-0.009012176739508042,1.0209681091886527,0.4444444444444444
PFDoDS,Branched,plasma,18,0.8581189230491668,0.23112839023188378,2.084616819721495,-0.10926714548562086,1.2860775153865125,0.6111111111111112
PFDoDS,Linear,brain,3,0.0,4.313690255114473,37.47479362419287,-1.573739249842638,37.47479362419287,0.6666666666666666
PFDoDS,Linear,feces,11,0.27362439465267036,0.899821232062631,3.2682052529903287,-0.10195418636550055,1.2646029377339125,1.0
PFDoDS,Linear,milk,24,0.635681697772087,0.25583974891277383,2.0278322695777717,-0.11019804789881388,1.2888371559800158,0.75
PFDoDS,Linear,plasma,13,0.24563375364598816,0.31327243592225495,1.4020436533808907,-0.03810701181832861,1.091709304650438,0.7692307692307693
PFHpA,Linear,urine,4,0.1392854041731298,1.5186849973228174,3.7274972964043656,-0.46077967624228644,2.8892137713339987,0.25
PFHpS,Linear,milk,20,0.2645050665423486,0.510485327866817,2.531172986721667,-0.40089738198880437,2.5170821044559353,0.05
PFHpS,Linear,plasma,16,0.6513576822920755,0.35251956793853667,2.0641619683282526,-0.30525025471404654,2.019529747688089,0.1875
PFHxA,Linear,urine,5,0.060061632415347704,3.238557098755295,162.65901849485988,-2.2112781473840704,162.65901849485988,0.2
PFHxS,Linear,milk,15,0.000753361350996375,0.5209332255422512,2.080748608748943,-0.2636872170507398,1.835216127443532,0.4
PFHxS,Linear,plasma,14,0.5351854130201834,0.39954286952274204,2.1069318909364654,-0.2950834031633809,1.9728015622333392,0.35714285714285715
PFHxS,Linear,urine,3,0.4992363276903948,2.1492336713689086,1.630452088580194,-0.21230804143025592,1.630452088580194,0.6666666666666666
PFNA,Linear,milk,22,0.4428392565426642,1.5411929282372507,50.67215394169027,-1.5557883219606845,35.95740336452788,0.7727272727272727
PFNS,Branched,brain,3,7.072975225889239e-30,1.072535085880067,1.1423770359444696,-0.05780946433507667,1.1423770359444696,1.0
PFNS,Branched,feces,14,0.9348694666596266,0.16409011159872355,1.6567738646109762,-0.02483453492649612,1.0588502291200614,0.6428571428571429
PFNS,Branched,heart,3,0.0,0.640871282296004,1.1649570773782927,-0.06345308603042109,1.1573190077973687,0.6666666666666666
PFNS,Branched,kidney,3,0.0,0.4624325679355895,1.3696874798625414,-0.0561714743116454,1.1380765486620323,0.0
PFNS,Branched,liver,3,0.0,0.5282294842585157,1.2423396960141404,0.06224747270115057,1.1541107138762545,0.6666666666666666
PFNS,Branched,lung,3,0.0,0.48076275268003466,1.1647149173682851,-0.04168829499388523,1.100748988357864,0.6666666666666666
PFNS,Branched,milk,27,0.8071345487662976,0.1642971921098623,1.6487513352157501,-0.034452403160101695,1.0825610645078227,0.4444444444444444
PFNS,Branched,muscle,3,0.0,0.5603985726795774,1.1562250110832033,-0.04919384842625545,1.119937658890928,0.6666666666666666
PFNS,Branched,plasma,24,0.9751121971889458,0.05996333889565219,1.2455427423515302,0.015488782647882083,1.0363078373858092,0.6666666666666666
PFNS,Branched,spleen,3,1.036215841841777e-29,1.162653589816659,1.1515124877742149,-0.06126865210661148,1.1515124877742149,0.6666666666666666
PFNS,Branched,urine,2,1.0,0.7164902553692073,1.1924093347791578,0.07642536724922905,1.1924093347791578,1.0
PFNS,Linear,brain,3,0.0,0.4183213606033266,1.2056671608911493,0.00036866549933783677,1.0008492440868033,1.0
PFNS,Linear,feces,15,0.9599435235046361,0.18863251392755406,1.821618681952048,-0.033724388971376404,1.0807478717353958,0.8666666666666667
PFNS,Linear,heart,3,0.0,0.41198878513192994,1.124890530702109,0.0075545986670311205,1.0175472822271348,1.0
PFNS,Linear,kidney,3,0.0,0.44312392669277295,1.1975646462160114,-0.0026040112867280565,1.0060139693056083,1.0
PFNS,Linear,liver,3,0.0,0.555624921376551,1.3406234477535555,0.10211604358359312,1.2650743304612255,1.0
PFNS,Linear,lung,3,0.0,0.4191229799780236,1.2751153612568369,0.011000816147500559,1.0256538537086457,1.0
PFNS,Linear,milk,27,0.8350218473735403,0.16533787610225653,1.6875131584615237,-0.0871133902639947,1.2221187023796403,0.7407407407407407
PFNS,Linear,muscle,3,0.0,0.43827809651797855,1.3472909258579495,0.014876542624336977,1.0348479474846832,1.0
