Animal,Compound,Isomer,total_intake,auc_milk_amount,auc_urine_amount,auc_feces_amount,total_body_burden,total_eliminated,mass_balance,unaccounted,transfer_rate_milk,transfer_rate_urine,transfer_rate_feces
E3,PFDoDS,Linear,1169.283295708431,4.6196662344875135,0.0,423.1906705685232,0.1401536,427.8103368030107,0.3659938459513606,741.3328053054204,0.0039508528441677656,0.0,0.36192313028137946
E4,PFDoDS,Linear,1102.1467902089073,8.44718154017642,0.0,359.1970510870857,0.1512,367.6442326272621,0.33370821009926277,734.3513575816452,0.007664298090978691,0.0,0.32590672520037134
E2,PFDoDS,Total,,,0.0,3202.899278036054,0.427136,,,,,,
E3,PFDoDS,Total,,,0.0,1871.260069581812,0.1401536,,,,,,
E4,PFDoDS,Total,,,0.0,1616.5900575026735,0.1512,,,,,,
E2,PFECHS,Linear,,,0.0,0.0,0.4992246,,,,,,
E3,PFECHS,Linear,,,0.0,0.0,0.1696275,,,,,,
E4,PFECHS,Linear,,,0.0,0.0,0.17860499999999999,,,,,,
E2,PFHpA,Branched,32.57266630172091,0.0,0.0,0.0,0.0,0.0,0.0,32.57266630172091,0.0,0.0,0.0
E3,PFHpA,Branched,31.88173433263071,0.0,0.0,0.0,0.0,0.0,0.0,31.88173433263071,0.0,0.0,0.0
E4,PFHpA,Branched,29.828209532435434,0.0,0.0,0.0,0.0,0.0,0.0,29.828209532435434,0.0,0.0,0.0
E2,PFHpA,Linear,197.54903299711154,0.0,64.76556189118008,0.0,0.0,64.76556189118008,0.3278455019930523,132.78347110593145,0.0,0.3278455019930523,0.0
E3,PFHpA,Linear,193.24619313765692,0.0,44.07075281533633,0.0,0.0,44.07075281533633,0.2280549598404921,149.17544032232058,0.0,0.2280549598404921,0.0
E4,PFHpA,Linear,181.26741864511678,0.0,51.94375584728194,0.0,0.0,51.94375584728194,0.2865587000440317,129.32366279783483,0.0,0.2865587000440317,0.0
E2,PFHpA,Total,,,73.0077641633793,0.0,0.0,,,,,,
E3,PFHpA,Total,,,46.773464815275595,0.0,0.0,,,,,,
E4,PFHpA,Total,,,56.92040311408739,0.0,0.0,,,,,,
E2,PFHpS,Branched,0.0,,0.0,0.0,0.0,,,,,,
E3,PFHpS,Branched,0.0,,0.0,0.0,0.0,,,,,,
E4,PFHpS,Branched,0.0,,0.0,0.0,0.0,,,,,,
E2,PFHpS,Linear,27.60021782584132,1.3574932503417427,0.0,0.0,0.0,1.3574932503417427,0.04918414988271431,26.242724575499576,0.04918414988271431,0.0,0.0
E3,PFHpS,Linear,26.882578560332174,0.6130332378828216,0.0,0.0,0.0,0.6130332378828216,0.0228041084863567,26.269545322449353,0.0228041084863567,0.0,0.0
E4,PFHpS,Linear,25.16353514553012,1.0312984163141212,0.0,0.0,0.0,1.0312984163141212,0.04098384469231916,24.132236729215997,0.04098384469231916,0.0,0.0
E2,PFHpS,Total,,,0.0,0.0,0.0,,,,,,
E3,PFHpS,Total,,,0.0,0.0,0.0,,,,,,
E4,PFHpS,Total,,,0.0,0.0,0.0,,,,,,
E2,PFHxA,Linear,781.1877155282173,0.0,219.28795036126357,0.0,0.0,219.28795036126357,0.28071095589744033,561.8997651669537,0.0,0.28071095589744033,0.0
