Animal,Compound,Isomer,max_day,frac,rmse_all_days,rmse_nonzero_days
E3,PFSAs,Branched,140,0.6666666666666666,361.4545736845122,553.6334271215096
E3,PFSAs,Branched,140,0.7,361.56913445497133,551.9050002554927
E3,PFSAs,Branched,140,0.8,361.860551315168,547.7482723322444
E3,PFSAs,Branched,140,0.9,357.8889206691018,532.1424615607975
E3,PFSAs,Linear,140,0.2,0.0,0.0
E3,PFSAs,Linear,140,0.3,168.14277928810813,266.80487740404345
E3,PFSAs,Linear,140,0.4,186.27342331564572,282.92837079708164
E3,PFSAs,Linear,140,0.5,201.06775527569044,306.97063655830345
E3,PFSAs,Linear,140,0.6,238.90569872695866,368.3427248102487
E3,PFSAs,Linear,140,0.6666666666666666,250.61095531080608,385.87569969972725
E3,PFSAs,Linear,140,0.7,250.52403116989555,384.66303790437803
E3,PFSAs,Linear,140,0.8,248.6781306536386,378.18404303712265
E3,PFSAs,Linear,140,0.9,245.47527789081678,367.4090696189735
E3,PFTeDA,Branched,140,0.2,0.0,0.0
E3,PFTeDA,Branched,140,0.3,0.40709938314770744,0.6261380866361014
E3,PFTeDA,Branched,140,0.4,0.5322584252077647,0.7774277738888401
E3,PFTeDA,Branched,140,0.5,0.5702236048940315,0.8095564567608249
E3,PFTeDA,Branched,140,0.6,0.6783914275853016,1.0002814571495184
E3,PFTeDA,Branched,140,0.6666666666666666,0.725813715731285,1.071609251180744
E3,PFTeDA,Branched,140,0.7,0.7329981642393012,1.0779947761161477
E3,PFTeDA,Branched,140,0.8,0.7469624248542097,1.0795939284687892
E3,PFTeDA,Branched,140,0.9,0.7500045771828252,1.0580631835143486
E3,PFTeDA,Linear,140,0.2,0.0,0.0
E3,PFTeDA,Linear,140,0.3,0.06205998090644247,0.0944040856691508
E3,PFTeDA,Linear,140,0.4,0.09373629253229167,0.13881112249359157
E3,PFTeDA,Linear,140,0.5,0.09580183977969102,0.13599923736336994
E3,PFTeDA,Linear,140,0.6,0.10639247361857422,0.15550593572697305
E3,PFTeDA,Linear,140,0.6666666666666666,0.11144295271876281,0.16179389591780333
E3,PFTeDA,Linear,140,0.7,0.11310035353842174,0.16385434894170922
E3,PFTeDA,Linear,140,0.8,0.1156252117453195,0.16539063539996884
E3,PFTeDA,Linear,140,0.9,0.11621681553085833,0.16382466044021796
E3,PFTrDA,Branched,140,0.2,0.0,0.0
E3,PFTrDA,Branched,140,0.3,0.2391920804527313,0.3669651611200224
E3,PFTrDA,Branched,140,0.4,0.3119638825484643,0.4542508074122969
E3,PFTrDA,Branched,140,0.5,0.33865350418658635,0.48079328341359395
E3,PFTrDA,Branched,140,0.6,0.400133287356769,0.5872538842595363
E3,PFTrDA,Branched,140,0.6666666666666666,0.4310120618593999,0.6354421635915
E3,PFTrDA,Branched,140,0.7,0.4355271914419763,0.6396998507628722
E3,PFTrDA,Branched,140,0.8,0.44481901535537416,0.6429579876295659
E3,PFTrDA,Branched,140,0.9,0.44675534350197443,0.6313063674734443
E3,PFTrDA,Linear,140,0.2,0.0,0.0
E3,PFTrDA,Linear,140,0.3,0.09812824584318398,0.15045404296990528
E3,PFTrDA,Linear,140,0.4,0.15937162392821652,0.234434856186074
E3,PFTrDA,Linear,140,0.5,0.1636531269274052,0.23761899703740494
E3,PFTrDA,Linear,140,0.6,0.17530961077336946,0.25749073162191755
E3,PFTrDA,Linear,140,0.6666666666666666,0.18158067771043235,0.2655817807702151
E3,PFTrDA,Linear,140,0.7,0.18310396245177193,0.26725323062240436
E3,PFTrDA,Linear,140,0.8,0.18541195444018294,0.2684290112281687
E3,PFTrDA,Linear,140,0.9,0.1858495102605947,0.26557653439986484
E3,PFTrDS,Branched,140,0.2,0.0,0.0
E3,PFTrDS,Branched,140,0.3,22.90640496641717,33.40992105609209
E3,PFTrDS,Branched,140,0.4,26.375246590508123,38.23270615904962
E3,PFTrDS,Branched,140,0.5,27.642021006998515,39.355715306571334
E3,PFTrDS,Branched,140,0.6,30.757819409589732,44.82418454449328
E3,PFTrDS,Branched,140,0.6666666666666666,32.522162425718825,47.40047729400211
E3,PFTrDS,Branched,140,0.7,32.93007394628006,47.88537718088394
E3,PFTrDS,Branched,140,0.8,33.632177833384475,48.43626121212791
E3,PFTrDS,Branched,140,0.9,33.84298822019666,47.898567254109054
E3,PFTrDS,Linear,140,0.2,0.0,0.0
E3,PFTrDS,Linear,140,0.3,1.4951004530825713,2.226049129869402
E3,PFTrDS,Linear,140,0.4,2.02382007460177,2.9876511316196965
E3,PFTrDS,Linear,140,0.5,2.086335990378232,3.0562201204638804
E3,PFTrDS,Linear,140,0.6,2.210098513672223,3.255922563665053
E3,PFTrDS,Linear,140,0.6666666666666666,2.2806065365647537,3.351869168706274
E3,PFTrDS,Linear,140,0.7,2.2993234841427763,3.375325276857555
E3,PFTrDS,Linear,140,0.8,2.3191384495177165,3.385314836636432
E3,PFTrDS,Linear,140,0.9,2.317262563358632,3.3559901100961897
E3,PFUnDA,Branched,140,0.2,0.0,0.0
E3,PFUnDA,Branched,140,0.3,0.09585731743430034,0.15132838544548544
E3,PFUnDA,Branched,140,0.4,0.1899072008666784,0.2815065545816653
E3,PFUnDA,Branched,140,0.5,0.20378118705735504,0.30885258703380375
E3,PFUnDA,Branched,140,0.6,0.2348047407805563,0.3622712018069226
E3,PFUnDA,Branched,140,0.6666666666666666,0.24957380118334463,0.3860042950508772
E3,PFUnDA,Branched,140,0.7,0.25321110877101866,0.39183906920629596
E3,PFUnDA,Branched,140,0.8,0.2553150762225224,0.3944000227487168
E3,PFUnDA,Branched,140,0.9,0.25390241177977824,0.39033622398572654
E3,PFUnDA,Linear,140,0.2,0.0,0.0
E3,PFUnDA,Linear,140,0.3,0.15528074855066815,0.22116549430846316
E3,PFUnDA,Linear,140,0.4,0.19253222766417316,0.2782403819526219
E3,PFUnDA,Linear,140,0.5,0.21420208428431903,0.3241022364776171
E3,PFUnDA,Linear,140,0.6,0.2536464741212686,0.3893564596363907
E3,PFUnDA,Linear,140,0.6666666666666666,0.26327243120106747,0.4029708048049506
E3,PFUnDA,Linear,140,0.7,0.2639979022024298,0.4031168854267157
E3,PFUnDA,Linear,140,0.8,0.2618949845643097,0.39415204130157827
E3,PFUnDA,Linear,140,0.9,0.25951720768473785,0.3827579037520619
E3,PFUnDS,Branched,140,0.2,0.0,0.0
E3,PFUnDS,Branched,140,0.3,35.65863356101599,51.773850321445764
E3,PFUnDS,Branched,140,0.4,39.54023158823748,56.30861507847273
E3,PFUnDS,Branched,140,0.5,42.975627903520305,61.3881561901652
E3,PFUnDS,Branched,140,0.6,50.245502770126755,73.92579338590055
E3,PFUnDS,Branched,140,0.6666666666666666,53.42324970768638,78.97563308291586
E3,PFUnDS,Branched,140,0.7,53.94434017350119,79.58882783442503
E3,PFUnDS,Branched,140,0.8,54.82117754786516,79.85046007233221
E3,PFUnDS,Branched,140,0.9,55.202904749662885,78.4241501245353
E3,PFUnDS,Linear,140,0.2,0.0,0.0
E3,PFUnDS,Linear,140,0.3,6.280041980331151,9.127254204802549
E3,PFUnDS,Linear,140,0.4,7.14852098570702,10.337138364373565
E3,PFUnDS,Linear,140,0.5,7.544086334925914,10.734677963109068
